id  name  address radius  polygon
0       ファミリーマート　オガール紫波店        岩手県紫波郡　紫波町紫波中央駅前２－３－１２    10      POLYGON ((141.1572501 39.554916031345314, 141.15728025515256 39.55491297041645, 141.15730835527378 39.554903996227104, 141.15733248538132 39.55488972035344, 141.15735100104618 39.55487111567266, 141.15736264045844 39.55484945006302, 141.15736661041691 39.5548262, 141.157362640383 39.554802949936985, 141.15735100091553 39.55478128432734, 141.15733248523043 39.554762679646565, 141.15730835514313 39.5547484037729, 141.15728025507713 39.55473942958355, 141.1572501 39.55473636865469, 141.15721994492287 39.55473942958355, 141.15719184485687 39.5547484037729, 141.15716771476957 39.554762679646565, 141.15714919908447 39.55478128432734, 141.15713755961698 39.554802949936985, 141.15713358958308 39.5548262, 141.15713755954155 39.55484945006302, 141.15714919895382 39.55487111567266, 141.15716771461868 39.55488972035344, 141.1571918447262 39.554903996227104, 141.15721994484744 39.55491297041645, 141.1572501 39.554916031345314))
1       ファミリーマート　豊崎  茨城県水戸市大工町３－３－２０  10      POLYGON ((140.4532139 36.381888231345314, 140.4532427791466 36.38188517041645, 140.4532696902206 36.381876196227104, 140.45329279927213 36.38186192035344, 140.45331053145577 36.38184331567266, 140.45332167835426 36.38182165006302, 140.45332548032957 36.3817984, 140.4533216782898 36.381775149936985, 140.45331053134416 36.38175348432734, 140.45329279914324 36.381734879646565, 140.45326969010898 36.3817206037729, 140.45324277908213 36.38171162958355, 140.4532139 36.38170856865469, 140.45318502091789 36.38171162958355, 140.45315810989104 36.3817206037729, 140.45313500085678 36.381734879646565, 140.45311726865586 36.38175348432734, 140.45310612171022 36.381775149936985, 140.45310231967045 36.3817984, 140.45310612164576 36.38182165006302, 140.45311726854425 36.38184331567266, 140.45313500072788 36.38186192035344, 140.45315810977942 36.381876196227104, 140.45318502085343 36.38188517041645, 140.4532139 36.381888231345314))
2       ファミリーマート　水戸見和店    茨城県水戸市見和２－２４６－１  10      POLYGON ((140.4319522 36.374052131345316, 140.43198107623712 36.374049070416454, 140.43200798459995 36.374040096227105, 140.43203109132335 36.37402582035344, 140.43204882172054 36.37400721567266, 140.43205996749603 36.37398555006302, 140.4320637690883 36.3739623, 140.4320599674316 36.373939049936986, 140.43204882160896 36.37391738432734, 140.4320310911945 36.37389877964657, 140.43200798448837 36.3738845037729, 140.4319810761727 36.37387552958355, 140.4319522 36.37387246865469, 140.43192332382733 36.37387552958355, 140.43189641551166 36.3738845037729, 140.43187330880554 36.37389877964657, 140.43185557839107 36.37391738432734, 140.43184443256843 36.373939049936986, 140.43184063091172 36.3739623, 140.431844432504 36.37398555006302, 140.43185557827948 36.37400721567266, 140.43187330867667 36.37402582035344, 140.43189641540008 36.374040096227105, 140.4319233237629 36.374049070416454, 140.4319522 36.374052131345316))
3       株式会社郡山西武        福島県郡山市駅前１－１６－７　Ｂ１和洋酒売場    50      POLYGON ((138.252924 36.205273156726584, 138.25306806919656 36.20525785208226, 138.2532023201559 36.2052129811355, 138.25331760378023 36.20514160176718, 138.25340606363827 36.2050485783633, 138.25346167137963 36.204940250315076, 138.2534806375455 36.204824, 138.2534616697825 36.20470774968493, 138.25340606087195 36.20459942163671, 138.25331760058597 36.20450639823282, 138.25320231738962 36.2044350188645, 138.25306806759943 36.20439014791774, 138.252924 36.20437484327342, 138.25277993240059 36.20439014791774, 138.2526456826104 36.2044350188645, 138.25253039941404 36.20450639823282, 138.25244193912806 36.20459942163671, 138.25238633021752 36.20470774968493, 138.25236736245452 36.204824, 138.2523863286204 36.204940250315076, 138.25244193636175 36.2050485783633, 138.25253039621978 36.20514160176718, 138.2526456798441 36.2052129811355, 138.25277993080346 36.20525785208226, 138.252924 36.205273156726584))
4       西友　ＬＩＶＩＮ　水戸店        茨城県水戸市三の丸１－１－１２  50      POLYGON ((140.4760989 36.37327065672658, 140.47624327971238 36.37325535208226, 140.47637782002505 36.3732104811355, 140.4764933521203 36.37313910176718, 140.47658200263362 36.373046078363295, 140.47663773022217 36.372937750315074, 140.47665673726067 36.3728215, 140.47663772861173 36.37270524968493, 140.47658199984426 36.372596921636706, 140.4764933488994 36.37250389823282, 140.4763778172357 36.3724325188645, 140.47624327810192 36.37238764791774, 140.4760989 36.37237234327342, 140.4759545218981 36.37238764791774, 140.47581998276434 36.3724325188645, 140.47570445110063 36.37250389823282, 140.47561580015577 36.372596921636706, 140.4755600713883 36.37270524968493, 140.47554106273935 36.3728215, 140.47556006977786 36.372937750315074, 140.4756157973664 36.373046078363295, 140.47570444787974 36.37313910176718, 140.47581997997497 36.3732104811355, 140.47595452028764 36.37325535208226, 140.4760989 36.37327065672658))
5       株式会社西友土浦店      茨城県土浦市大和町３－１５      50      POLYGON ((140.2053107 36.08006005672658, 140.20545453943095 36.08004475208226, 140.20558857628382 36.0799998811355, 140.20570367605248 36.07992850176718, 140.20579199483547 36.07983547836329, 140.20584751389612 36.07972715031507, 140.20586644981833 36.0796109, 140.20584751230882 36.079494649684925, 140.2057919920862 36.079386321636704, 140.20570367287792 36.07929329823282, 140.20558857353456 36.0792219188645, 140.20545453784368 36.07917704791774, 140.2053107 36.07916174327342, 140.20516686215635 36.07917704791774, 140.20503282646547 36.0792219188645, 140.2049177271221 36.07929329823282, 140.20482940791382 36.079386321636704, 140.2047738876912 36.079494649684925, 140.2047549501817 36.0796109, 140.2047738861039 36.07972715031507, 140.20482940516456 36.07983547836329, 140.20491772394755 36.07992850176718, 140.2050328237162 36.0799998811355, 140.20516686056908 36.08004475208226, 140.2053107 36.08006005672658))
